"Start Date"	"End Date"	"Page Views"	"Total Sales"	"Total Orders"	"Conversion Rate"	"# Your Product(s) that were added to a Cart"	"# of People who added Your Product(s) to their Wishlist"	"# of Signups to all Your Product(s) Waitlist(s)"
"2019-11-10"	"2019-11-16"	"214"	"$496.92"	"3"	"1.40%"	"5"	"0"	"2"
"2019-11-24"	"2019-11-30"	"370"	"$358.79"	"2"	"0.54%"	"10"	"0"	"5"
"2019-12-01"	"2019-12-07"	"304"	"$137.83"	"1"	"0.33%"	"3"	"0"	"0"
"2019-12-08"	"2019-12-14"	"117"	"$183.88"	"1"	"0.85%"	"7"	"0"	"0"
"2019-12-15"	"2019-12-21"	"212"	"$137.83"	"1"	"0.47%"	"2"	"0"	"0"
"2019-12-22"	"2019-12-28"	"227"	"$0.00"	"0"	"0.00%"	"1"	"0"	"0"
"2019-12-29"	"2020-01-04"	"262"	"$183.88"	"1"	"0.38%"	"4"	"3"	"0"
"2020-01-05"	"2020-01-11"	"549"	"$313.89"	"2"	"0.36%"	"14"	"1"	"0"
"2020-01-12"	"2020-01-18"	"516"	"$358.79"	"2"	"0.39%"	"15"	"1"	"0"
"2020-02-02"	"2020-02-08"	"309"	"$183.88"	"1"	"0.32%"	"5"	"0"	"0"
"2020-02-09"	"2020-02-15"	"420"	"$855.36"	"5"	"1.19%"	"7"	"0"	"15"
"2020-01-19"	"2020-01-25"	"564"	"$486.89"	"3"	"0.53%"	"11"	"2"	"0"
"2020-01-26"	"2020-02-01"	"585"	"$671.78"	"4"	"0.68%"	"9"	"2"	"0"
"2020-02-16"	"2020-02-22"	"272"	"$197.78"	"1"	"0.37%"	"1"	"0"	"11"
"2020-02-23"	"2020-02-29"	"200"	"$0.00"	"0"	"0.00%"	"0"	"0"	"10"
"2020-03-01"	"2020-03-07"	"183"	"$0.00"	"0"	"0.00%"	"0"	"0"	"8"
"2020-03-22"	"2020-03-28"	"138"	"$0.00"	"0"	"0.00%"	"0"	"0"	"1"
"2020-03-15"	"2020-03-21"	"128"	"$0.00"	"0"	"0.00%"	"0"	"1"	"6"
"2020-03-29"	"2020-04-04"	"151"	"$0.00"	"0"	"0.00%"	"0"	"0"	"4"
"2020-03-08"	"2020-03-14"	"454"	"$0.00"	"0"	"0.00%"	"0"	"0"	"24"
"2020-03-08"	"2020-03-14"	"454"	"$0.00"	"0"	"0.00%"	"0"	"0"	"24"
"2020-04-05"	"2020-04-11"	"168"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2020-04-12"	"2020-04-18"	"159"	"$0.00"	"0"	"0.00%"	"0"	"0"	"2"
"2020-04-19"	"2020-04-25"	"155"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2020-05-03"	"2020-05-09"	"420"	"$1271.85"	"6"	"1.43%"	"13"	"0"	"26"
"2020-04-26"	"2020-05-02"	"201"	"$0.00"	"0"	"0.00%"	"0"	"1"	"7"
"2020-05-10"	"2020-05-16"	"489"	"$0.00"	"0"	"0.00%"	"0"	"1"	"12"
"2020-05-24"	"2020-05-30"	"185"	"$0.00"	"0"	"0.00%"	"0"	"1"	"4"
"2020-05-17"	"2020-05-23"	"173"	"$252.96"	"1"	"0.58%"	"1"	"1"	"6"
"2020-05-31"	"2020-06-06"	"375"	"$754.81"	"4"	"1.07%"	"5"	"5"	"23"
"2020-06-07"	"2020-06-13"	"304"	"$252.96"	"1"	"0.33%"	"1"	"1"	"19"
"2020-06-14"	"2020-06-20"	"270"	"$0.00"	"0"	"0.00%"	"0"	"2"	"14"
"2020-06-21"	"2020-06-27"	"166"	"$0.00"	"0"	"0.00%"	"0"	"0"	"5"
"2020-06-28"	"2020-07-04"	"207"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2020-07-05"	"2020-07-11"	"212"	"$0.00"	"0"	"0.00%"	"0"	"0"	"9"
"2020-07-12"	"2020-07-18"	"449"	"$1305.92"	"6"	"1.34%"	"9"	"0"	"16"
"2020-08-02"	"2020-08-08"	"205"	"$30.79"	"1"	"0.49%"	"1"	"0"	"2"
"2020-07-26"	"2020-08-01"	"216"	"$0.00"	"0"	"0.00%"	"2"	"0"	"5"
"2020-08-09"	"2020-08-15"	"308"	"$90.88"	"1"	"0.32%"	"3"	"4"	"16"
"2020-07-19"	"2020-07-25"	"392"	"$119.50"	"4"	"1.02%"	"11"	"1"	"9"
"2020-08-16"	"2020-08-22"	"434"	"$1670.40"	"8"	"1.84%"	"12"	"2"	"16"
"2020-08-23"	"2020-08-29"	"274"	"$0.00"	"0"	"0.00%"	"1"	"2"	"13"
"2020-08-30"	"2020-09-05"	"196"	"$0.00"	"0"	"0.00%"	"1"	"3"	"13"
"2020-09-06"	"2020-09-12"	"209"	"$0.00"	"0"	"0.00%"	"0"	"0"	"7"
"2020-09-13"	"2020-09-19"	"212"	"$0.00"	"0"	"0.00%"	"0"	"0"	"3"
"2020-09-20"	"2020-09-26"	"540"	"$1686.11"	"8"	"1.48%"	"11"	"3"	"23"
"2020-09-27"	"2020-10-03"	"266"	"$235.46"	"1"	"0.38%"	"1"	"4"	"12"
"2020-10-04"	"2020-10-10"	"253"	"$13.50"	"1"	"0.40%"	"5"	"0"	"7"
"2020-10-11"	"2020-10-17"	"272"	"$0.00"	"0"	"0.00%"	"0"	"0"	"6"
"2020-10-18"	"2020-10-24"	"459"	"$947.66"	"5"	"1.09%"	"12"	"1"	"12"
"2020-10-25"	"2020-10-31"	"430"	"$551.10"	"4"	"0.93%"	"8"	"0"	"14"
"2020-11-01"	"2020-11-07"	"1367"	"$762.83"	"3"	"0.22%"	"5"	"0"	"49"
"2020-11-08"	"2020-11-14"	"390"	"$0.00"	"0"	"0.00%"	"0"	"0"	"16"
"2020-11-15"	"2020-11-21"	"445"	"$1153.53"	"6"	"1.35%"	"13"	"0"	"20"
